orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 115 North Main Street,Mansfield,MA,2048,"",115,North Main Street,Mansfield,Bristol County,Massachusetts,United States,02048,42.0275024,-71.2172659,true
 116 Franklin,Quincy,MA,2169,"",116,Franklin Street,Quincy,Norfolk County,Massachusetts,United States,02169,42.239987,-71.00296469999999,true
 425 W. Pennsylvania Ave.,Southern Pines,NC,28387,"",425,West Pennsylvania Avenue,Southern Pines,Moore County,North Carolina,United States,28387,35.178127,-79.39529,false
 35 Parker Lane,Pinehurst,NC,28374,"",35,Parker Lane,Pinehurst,Moore County,North Carolina,United States,28374,35.174135,-79.469109,false
 102 South Vance Street,Red Springs,NC,28377,"",102,North Vance Street,Red Springs,Robeson County,North Carolina,United States,28377,34.8164227,-79.1838349,true
 312 W. Main Street,Rowland,NC,28383,"",312,West Main Street,Rowland,Robeson County,North Carolina,United States,28383,34.5384631,-79.29538289999999,true
 184 Jackson St.,Lawrence,MA,1841,"",184,Jackson Street,Lawrence,Essex County,Massachusetts,United States,01841,42.7163208,-71.1579113,true
 2160 E. Mildand,Buena Vista,VA,24416,"",2160,East Midland Trail,Buena Vista,"",Virginia,United States,24416,37.7437021,-79.3793391,true
 694 Main Street,Dallas,OR,97338,"",694,Main Street,Dallas,Polk County,Oregon,United States,97338,44.922773,-123.3163934,false
 207 Hwy 47 South,Columbiana,AL,35051,"",207,County Road 47,Columbiana,Shelby County,Alabama,United States,35051,33.1723472,-86.6059693,true
 8586 Alabama Highway 25,Calera,AL,35040,"",8586,Highway 25,Calera,Shelby County,Alabama,United States,35040,33.0937733,-86.7867172,false
 79 Morgantown Ave,Newburg,WV,26410,"",79,Morgantown Avenue,Newburg,Preston County,West Virginia,United States,26410,39.3886285,-79.8529752,false
 416 Bell Avenue,Raritan,NJ,8869,"",416,Bell Avenue,Raritan,Somerset County,New Jersey,United States,08869,40.573282,-74.63553499999999,true
 308 7th Ave W,Ellendale,MN,56026,"",308,7th Avenue West,Ellendale,Steele County,Minnesota,United States,56026,43.8710991,-93.30208979999999,false
 Birch At Division,New Richland,MN,56072,"","",Division Street West,New Richland,Waseca County,Minnesota,United States,56072,43.893876,-93.496675,true
 525 W. Clark,Albert Lea,MN,56007,"",525,West Clark Street,Albert Lea,Freeborn County,Minnesota,United States,56007,43.6494959,-93.3747495,true
 1535 S W Dash Point Rd,Federal Way,WA,98023,"",1535,Southwest Dash Point Road,Federal Way,King County,Washington,United States,98023,47.32345220000001,-122.3544933,false
 325 West Cedar Street,Franklin,KY,42134,"",325,West Cedar Street,Franklin,Simpson County,Kentucky,United States,42134,36.7221881,-86.5826355,false
 305 Main Street,Indianola,MS,38751,"",305,Main Street,Indianola,Sunflower County,Mississippi,United States,38751,33.451199,-90.64737699999999,false
 7671 NC Hwy 770 W,Eden,NC,27288,"",7671,Highway 770,Eden,Rockingham County,North Carolina,United States,27288,36.4798494,-79.79804709999999,true
 1502 North Lebanon Street,Lebanon,IN,46052,"",1502,North Lebanon Street,Lebanon,Boone County,Indiana,United States,46052,40.0595216,-86.4718068,false
 2005 Mount Jefferson Road,West Jefferson,NC,28694,"",2005,Mount Jefferson Road,West Jefferson,Ashe County,North Carolina,United States,28694,36.385167,-81.478605,false
 1100 Old Creek Rd.,Hollandale,MS,38748,"","",Creek Road,Hollandale,Sharkey County,Mississippi,United States,38748,33.0518124,-90.8397451,true
 101 South Broad St,Leland,MS,38756,"",101,South Broad Street,Leland,Washington County,Mississippi,United States,38756,33.403256,-90.900211,false
 2156 Airline Drive,Bossier City,LA,71111,"",2156,Airline Drive,Bossier City,Bossier Parish,Louisiana,United States,71111,32.538719,-93.70732199999999,false
 US 41 South,Adel,GA,31620,"",41,South Avenue,Sparks,Cook County,Georgia,United States,31647,31.1601624,-83.436689,true
 202 N. Hutchinson Avenue,Adel,GA,31620,"",202,North Hutchinson Avenue,Adel,Cook County,Georgia,United States,31620,31.1387185,-83.4236001,false
 150 West Water Street,Flemingsburg,KY,41041,"",150,West Water Street,Flemingsburg,Fleming County,Kentucky,United States,41041,38.423434,-83.7353789,false
 905 Main,Greenville,MS,38702,"",905,Main Street,Greenville,Washington County,Mississippi,United States,38701,33.4056493,-91.0548417,true
 506 N. Third Street,Booneville,MS,38829,"",506,North 3rd Street,Booneville,Prentiss County,Mississippi,United States,38829,34.6630917,-88.56905599999999,false
 3450 Ky Hwy 11 North,Booneville,KY,41314,"","",Highway 11,Booneville,Owsley County,Kentucky,United States,41314,37.5147706,-83.73511859999999,true
 1811 E Main St,Booneville,AR,72927,"",1811,East Main Street,Booneville,Logan County,Arkansas,United States,72927,35.143222,-93.89863799999999,false
 40 Crosswicks Street,Bordentown,NJ,8505,"",40,Crosswicks Street,Bordentown,Burlington County,New Jersey,United States,08505,40.1458579,-74.71009699999999,true
 203 Ohio Avenue,Etowah,TN,37331,"",203,Ohio Avenue,Etowah,McMinn County,Tennessee,United States,37331,35.330393,-84.522538,false
 312 S. Michigan,Howell,MI,48843,"",312,South Michigan Avenue,Howell,Livingston County,Michigan,United States,48843,42.6051207,-83.9312089,true
 1330 Maunakea Street,Honolulu,HI,96817,"",1330,Maunakea Street,Honolulu,Honolulu County,Hawaii,United States,96817,21.315046,-157.859548,false
 85 Blossom Street,Fitchburg,MA,1420,"",85,Blossom Street,Fitchburg,Worcester County,Massachusetts,United States,01420,42.584387,-71.795408,true
" 1300 West, Pennsylvania Avenue",Southern Pines,NC,28387,"",1300,West Pennsylvania Avenue,Southern Pines,Moore County,North Carolina,United States,28387,35.186687,-79.403994,false
 12118 East State Hwy 52,Hartford,AL,36344,"",12118,Highway 52,Hartford,Geneva County,Alabama,United States,36344,31.1039268,-85.6792351,true
 209 S.Choctaw Street,Geneva,AL,36340,"",209,North Choctaw Street,Geneva,Geneva County,Alabama,United States,36340,31.03609999999999,-85.8768,true
 272 Sayles Avenue,Pascoag,RI,2859,"",272,Sayles Avenue,Burrillville,Providence County,Rhode Island,United States,02859,41.962583,-71.70546399999999,true
 110 Nichols Street,Gardner,MA,1440,"",110,Nichols Street,Gardner,Worcester County,Massachusetts,United States,01440,42.5738609,-71.9976573,true
 7 Pleasant Street,Easthampton,MA,1027,"",7,Pleasant Street,Easthampton,Hampshire County,Massachusetts,United States,01027,42.2722096,-72.6699591,true
 85 N. Winooski Ave,Burlington,VT,5401,"",85,North Winooski Avenue,Burlington,Chittenden County,Vermont,United States,05401,44.48298399999999,-73.21159999999999,true
 615 Broadway,Fall River,MA,2724,"",615,Broadway,Fall River,Bristol County,Massachusetts,United States,02724,41.69277599999999,-71.169517,true
 223 Ashley Blvd.,New Bedford,MA,2746,"",223,Ashley Boulevard,New Bedford,Bristol County,Massachusetts,United States,02746,41.6612398,-70.9300976,true
 1151 River Road,New Milford,NJ,7646,"",1151,River Road,New Milford,Bergen County,New Jersey,United States,07646,40.916462,-74.025014,true
 527 Main Street,Rockport,IN,47635,"",527,Main Street,Rockport,Spencer County,Indiana,United States,47635,37.8833856,-87.0508346,false
 705 E. Main Street,Salisbury,MD,21804,"",705,East Main Street,Salisbury,Wicomico County,Maryland,United States,21804,38.3660311,-75.5868773,false
 981 State Hwy 253,Winfield,AL,35594,"",981,Highway 253,Winfield,Marion County,Alabama,United States,35594,33.9400981,-87.824742,false
 420 Love Avenue,Tifton,GA,31794,"",420,Love Avenue,Tifton,Tift County,Georgia,United States,31794,31.4576953,-83.5084921,false
 320 East Main St,Dublin,VA,24084,"",320,East Main Street,Dublin,Pulaski County,Virginia,United States,24084,37.104695,-80.6841199,false
 1631 Bobwhite Boulevard,Pulaski,VA,24301,"",1631,Bob White Boulevard,Pulaski,Pulaski County,Virginia,United States,24301,37.055254,-80.749252,true
 222 North Main Street,Marine City,MI,48039,"",222,North Main Street,Marine City,St. Clair County,Michigan,United States,48039,42.7206626,-82.4908322,false
 163 Arrants Avenue,Decatur,TN,37322,"",163,Arrants Road,Decatur,Meigs County,Tennessee,United States,37322,35.5180689,-84.791749,false
 1704 N. Main Street,London,KY,40741,"",1704,North Main Street,London,Laurel County,Kentucky,United States,40741,37.1389218,-84.094948,false
 2608 Hwy 71 South,Mena,AR,71953,"",2608,U.S. 71,Mena,Polk County,Arkansas,United States,71953,34.5654659,-94.2611367,true
 212 E. Main St,Salem,KY,42078,"",212,East Main Street,Salem,Livingston County,Kentucky,United States,42078,37.2641488,-88.24241719999999,false
 101 Elizabeth Street,Ashland City,TN,37015,"",101,Elizabeth Street,Ashland City,Cheatham County,Tennessee,United States,37015,36.27191,-87.06201,false
 207 E. 2nd Street,Lonoke,AR,72086,"",207,East 2nd Street,Lonoke,Lonoke County,Arkansas,United States,72086,34.784945,-91.898771,false
 149 Holland Bland Road,Warrenton,NC,27589,"","",Holland Bland Road,Warrenton,Warren County,North Carolina,United States,27589,36.394827,-78.1697973,true
 709 Broadway,Fall River,MA,2724,"",709,Broadway,Fall River,Bristol County,Massachusetts,United States,02724,41.6917,-71.17011699999999,true
 188 Easton,New Brunswick,NJ,8901,"",188,Easton Avenue,New Brunswick,Middlesex County,New Jersey,United States,08901,40.5001913,-74.45547859999999,true
 173 Union Avenue,Framingham,MA,1702,"",173,Union Avenue,Framingham,Middlesex County,Massachusetts,United States,01702,42.2828564,-71.4195443,true
 29 Federal Street,Brunswick,ME,4011,"",29,Federal Street,Brunswick,Cumberland County,Maine,United States,04011,43.915721,-69.962344,true
 911 Porter Ave,Ocean Springs,MS,39564,"",911,Porter Avenue,Ocean Springs,Jackson County,Mississippi,United States,39564,30.412232,-88.8292733,false
 675 Howard Avenue,Biloxi,MS,39530,"",675,Howard Avenue,Biloxi,Harrison County,Mississippi,United States,39530,30.3957183,-88.8846356,false
 2511 Pass Rd,Biloxi,MS,39531,"",2511,Pass Road,Biloxi,Harrison County,Mississippi,United States,39531,30.4007477,-88.98347059999999,false
 1726 15th St,Gulfport,MS,39502,"",1726,15th Street,Gulfport,Harrison County,Mississippi,United States,39501,30.3698604,-89.08297010000001,true
 15452 O'Neal Rd at Hwy 49,Gulfport,MS,39503,"","",O'Neal Road,Gulfport,Harrison County,Mississippi,United States,39503,30.4675969,-89.0947814,true
 135 North Main St,Reidsville,GA,30453,"",135,North Main Street,Reidsville,Tattnall County,Georgia,United States,30453,32.0887034,-82.12013189999999,false
 309 Springfield,Summit,NJ,7901,"",309,Springfield Avenue,Summit,Union County,New Jersey,United States,07901,40.718747,-74.354564,true
 309 Springfield Avenue,Summit,NJ,7928,"",309,Springfield Avenue,Summit,Union County,New Jersey,United States,07901,40.718747,-74.354564,true
 1005 E. Main Street,Boonville, IN,47601,"",1005,East Main Street,Boonville,Warrick County,Indiana,United States,47601,38.044401,-87.2621522,false
 1100 Pine Avenue,Union,NJ,7083,"",1100,Pine Avenue,Union,Union County,New Jersey,United States,07083,40.6998665,-74.2701155,true
 415 Morris Avenue,Springfield,NJ,7081,"",415,Morris Avenue,Springfield Township,Union County,New Jersey,United States,07081,40.7142018,-74.3184275,true
 127 Medford-Mt Holly Road,Medford,NJ,8055,"",127,Medford Mount Holly Road,Medford,Burlington County,New Jersey,United States,08055,39.9094392,-74.82608499999999,true
 307 Old Stage Road,Chilhowie,VA,24319,"",307,Old Stage Road,Chilhowie,Smyth County,Virginia,United States,24319,36.802376,-81.68279799999999,false
 938 N. Main Street,Marion,VA,24354,"",938,North Main Street,Marion,Smyth County,Virginia,United States,24354,36.84119940000001,-81.50405219999999,false
 2800 Curve Crest Dr,Stillwater,MN,55082,"",2800,Curve Crest Boulevard,Stillwater,Washington County,Minnesota,United States,55082,45.0379227,-92.8462637,true
 86 S. Main Street,Saint Albans,VT,5478,"",86,South Main Street,Saint Albans City,Franklin County,Vermont,United States,05478,44.807632,-73.084512,true
 707 Main Street,Monmouth,ME,4259,"",707,Main Street,Monmouth,Kennebec County,Maine,United States,04259,44.2353049,-70.0360206,true
 9 Thurlow's Hill Road,Stonington,ME,4681
 47 Main St,Milbridge,ME,4658,"",47,Main Street,Milbridge,Washington County,Maine,United States,04658,44.5354859,-67.88079499999999,true
 215 Main Street,Ellsworth,ME,4605,"",215,Main Street,Ellsworth,Hancock County,Maine,United States,04605,44.542292,-68.420446,true
 220 Court Street,Machias,ME,4654,"",220,Court Street,Machias,Washington County,Maine,United States,04654,44.7132577,-67.4685591,true
 108 S. Main,Knox, IN ,46534,"",108,South Main Street,Knox,Starke County,Indiana,United States,46534,41.2961232,-86.6232332,true
 101 Union Avenue,Belleville,NJ,7109,"",101,Union Avenue,Belleville,Essex County,New Jersey,United States,07109,40.7872637,-74.15954359999999,true
 305 Wanoosnoc Rd,Fitchburg,MA,1420,"",305,Wanoosnoc Road,Fitchburg,Worcester County,Massachusetts,United States,01420,42.5582234,-71.7873034,true
 12012 Hwy 190 West,Hammond,LA,70401,"",12012,U.S. 190,Hammond,Tangipahoa Parish,Louisiana,United States,70401,30.50446729999999,-90.5121154,true
 1190 Highway 51 North,"Ponchatoula,",LA,70454,"",1190,Northeast US Highway 51,Ponchatoula,Tangipahoa Parish,Louisiana,United States,70454,30.4424931,-90.46297750000001,true
 329 W 3rd St,Malvern,AR,72104,"",329,West 3rd Street,Malvern,Hot Spring County,Arkansas,United States,72104,34.3613242,-92.8156992,false
 2912 Hwy 29 N,Hope,AR,71801,"",2912,Highway 29,Hope,Hempstead County,Arkansas,United States,71801,33.6975249,-93.6030686,true
 412 Philadelphia Pike,Wilmington,DE,19809,"",412,Philadelphia Pike,Wilmington,New Castle County,Delaware,United States,19809,39.767171,-75.506506,false
 117 Memorial Drive,Reidsville,GA,30453,"","",Memorial Drive,Reidsville,Tattnall County,Georgia,United States,30453,32.082627,-82.1086644,true
 206 N. Veterans Blvd,Glennville,GA,30427,"",206,North Main Street,Glennville,Tattnall County,Georgia,United States,30427,31.9383715,-81.9287151,false
 1121 Borum St,Unadilla,GA,31091,"",1121,Borum Street,Unadilla,Dooly County,Georgia,United States,31091,32.2603395,-83.73311489999999,false
 1411 E. Union Street,Vienna,GA,31092,"",1411,East Union Street,Vienna,Dooly County,Georgia,United States,31092,32.0872388,-83.769716,false
 503 Sparrow,Lake Providence,LA,71254,"",503,Sparrow Street,Lake Providence,East Carroll Parish,Louisiana,United States,71254,32.8006336,-91.1714478,true
 6875 Cockrum Street,Olive Branch,MS,38654,"",6875,Cockrum Road,Olive Branch,DeSoto County,Mississippi,United States,38654,34.9599685,-89.8306161,true
 2470 Hwy 51 South,Hernando,MS,38632,"",2470,Highway 51 South,Hernando,DeSoto County,Mississippi,United States,38632,34.8240226,-89.9937167,false
 773 Moody Street,Waltham,MA,2453,"",773,Moody Street,Waltham,Middlesex County,Massachusetts,United States,02453,42.3631245,-71.2390934,true
 325 Trapelo Rd,Belmont,MA,2478,"",325,Trapelo Road,Belmont,Middlesex County,Massachusetts,United States,02478,42.384773,-71.182208,true
 509 N. Gaskill Street,Huntsville,AR,72740,"",509,North Gaskill Street,Huntsville,Madison County,Arkansas,United States,72740,36.089686,-93.74338519999999,false
 106 Broad,Eatontown,NJ,7724,"",106,Broad Street,Eatontown,Monmouth County,New Jersey,United States,07724,40.3065281,-74.0555213,true
 623 Railroad,Donaldsonville,LA,70346,"",623,Railroad Avenue,Donaldsonville,Ascension Parish,Louisiana,United States,70346,30.100793,-90.99059799999999,true
 1196 Us Highway 371 W,Prescott,AR,71857,"",1196,U.S. Highway 371,Prescott,Nevada County,Arkansas,United States,71857,33.81029669999999,-93.4061433,true
 1001 S. Main Street,Hope,AR,71801,"",1001,South Main Street,Hope,Hempstead County,Arkansas,United States,71801,33.660134,-93.5886563,false
 409 Highway 15 South,Jackson,KY,41339,"",409,Highway 15,Jackson,Breathitt County,Kentucky,United States,41339,37.5577972,-83.3896396,true
 526 College Drive,Barnesville,GA,30204,"",526,College Drive,Barnesville,Lamar County,Georgia,United States,30204,33.0410679,-84.1535605,false
 3304 S. Liberty Street,Canton,MS,39046,"",3304,South Liberty Street,Canton,Madison County,Mississippi,United States,39046,32.6106421,-90.0345085,false
 620 E. Second Street,Maysville,KY,41056,"",620,East 2nd Street,Maysville,Mason County,Kentucky,United States,41056,38.6442842,-83.7502907,false
 340 Hamilton Avenue,Trenton,NJ,8609,"",340,Hamilton Avenue,Trenton,Mercer County,New Jersey,United States,08609,40.2156415,-74.7494865,true
 114 E. 4th St.,Pittsburg,KS,66762,"",114,East 4th Street,Pittsburg,Crawford County,Kansas,United States,66762,37.4109357,-94.7039087,false
 309 N 4th St,Staples,MN,56479,"",309,4th Street Northeast,Staples,Todd County,Minnesota,United States,56479,46.3569185,-94.79528119999999,true
 35 Pacific ave,Randall,MN,56475,"",35,Pacific Avenue,Randall,Morrison County,Minnesota,United States,56475,46.0929352,-94.5044144,true
 7348 Excelsior Blvd,Baxter,MN,56425,"",7348,Excelsior Road North,Baxter,Crow Wing County,Minnesota,United States,56425,46.355077,-94.24797600000001,true
 CR 3 & Hwy 36,Crosslake,MN,56442,"","",3,"","",Alajuela,Costa Rica,"",9.9793664,-84.38821829999999,false
